"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Core Utilities","0","Playlist Indexing","1","0","No User Picks","0"
"1","Image Generation","0","Canvas Assembly","0","0","File Output","0"
"1","File Extraction","0","Directory Scanning","0","0","Empty Directory","0"
"0","Jukebox Player","0","Formatting","4","0","Time Formatting","0"
"0","Core Utilities","0","Playlist Indexing","1","0","User Picks Only","0"
"0","Core Utilities","0","Genre Normalization","11","0","Standard Mappings","0"
"0","Song Library Management","0","Artist Verification","4","0","Positive Matching","0"
"1","Image Generation","0","Canvas Assembly","0","0","Image Processing","0"
"1","MP3 Tagger","0","CSV Logic","1","0","Validation","0"
"0","Jukebox Player","1","Ambient Music","0","0","Playback Loop","0"
"2","MP3 Tagger","0","CSV Logic","0","0","Workflow","0"
"0","Song Library Management","0","MP3 Discovery & Parsing","1","0","Complex Artists","0"
"0","Metadata Enrichment","0","String Normalization","1","0","Noise Removal","0"
"1","Image Generation","0","Canvas Assembly","0","0","Fonts","0"
"0","Downloader","0","Artist Parsing","1","0","Fallback","0"
"1","Downloader","0","Download Loop","0","0","Processing","0"
"1","GUI Logic","0","","0","0","Emoji Mapping","0"
"1","Metadata Enrichment","0","Genre Fetching","0","0","Missing Data","0"
"0","Song Library Management","0","MP3 Discovery & Parsing","1","0","Error Handling","0"
"6","Playlist Sync","0","Normalization","0","0","Cleanup","0"
"1","Metadata Enrichment","0","File I/O","0","0","End-to-End","0"
"1","Metadata Enrichment","0","Genre Fetching","0","0","Success Path","0"
"0","Song Library Management","0","MP3 Discovery & Parsing","1","0","File Filtering","0"
"0","Core Utilities","0","Genre Normalization","1","0","Edge Cases & Defaults","0"
"0","Song Library Management","0","Artist Verification","4","0","Negative Matching","0"
"0","Main Application","0","Song Selection","1","0","Validation","0"
"0","Metadata Enrichment","0","String Normalization","4","0","Separators","0"
"0","Downloader","0","Title Sanitization","5","0","Suffix Removal","0"
"0","Document Generator","0","","1","0","Valid Data","0"
"0","UI Components","0","","1","0","Interaction","0"
"1","File Extraction","0","MP3 Parsing","0","0","Success","0"
"1","Downloader","0","Genre Lookup","0","0","Failure","0"
"0","Main Application","0","File Loading","1","0","JSON Parsing","0"
"1","Metadata Enrichment","0","Genre Fetching","0","0","API Errors","0"
"0","Downloader","0","Title Sanitization","1","0","Formatting","0"
"1","File Extraction","0","MP3 Parsing","0","0","Failure Handling","0"
"0","Jukebox Player","0","Initialization","1","0","Default State","0"
"1","Image Generation","0","Canvas Assembly","0","0","Drawing","0"
"1","MP3 Tagger","0","MusicBrainz / CAA","0","0","Failure","0"
"1","Playlist Sync","0","Fuzzy Scoring","0","0","Mismatch","0"
"0","Core Utilities","0","Genre Normalization","3","0","Alias Handling","0"
"0","Core Utilities","0","Genre Normalization","4","0","String Sanitization","0"
"1","MP3 Tagger","0","iTunes Search","0","0","Success","0"
"1","MP3 Tagger","0","iTunes Search","0","0","Failure","0"
"2","MP3 Tagger","0","Tag Embedding","0","0","Genre Tagging","0"
"0","Core Utilities","0","Playlist Indexing","1","0","Empty Playlist","0"
"0","Jukebox Player","0","Ambient Music","1","0","File Discovery","0"
"1","MP3 Tagger","0","Tag Embedding","0","0","Album Art","0"
"1","Downloader","0","Tagging","0","0","ID3 Writes","0"
"0","Jukebox Player","0","Playlist Priority","1","0","Special Slot","0"
"1","Downloader","0","Download Loop","0","0","Fallback Logic","0"
"0","Jukebox Player","0","Duration Lookup","1","0","Mutagen Fallback","0"
"1","Downloader","0","Tagging","0","0","Error Handling","0"
"0","Jukebox Player","0","Immediate Playback","1","0","Interrupt Flow","0"
"0","Core Utilities","0","Playlist Indexing","1","0","Mixed Content","0"
"0","Main Application","0","Upcoming Songs Generation","1","0","Queue Mixing","0"
"0","GUI Logic","1","","0","0","Selection","0"
"0","Playlist Sync","0","Script Execution","1","0","Output Generation","0"
"0","Metadata Enrichment","0","String Normalization","1","0","Deduplication","0"
"1","File Extraction","0","MP3 Parsing","0","0","Case Insensitivity","0"
"0","Core Utilities","0","Playlist Indexing","1","0","Data Integrity","0"
"0","Jukebox Player","0","Playlist Priority","1","0","Standard Priority","0"
"1","MP3 Tagger","0","MusicBrainz / CAA","0","0","Success","0"
"0","Song Library Management","0","Album Art Extraction","1","0","Art Exists","0"
"1","Downloader","0","Genre Lookup","0","0","Success","0"
"1","Metadata Enrichment","0","DataFrame Updates","0","0","Iterative Update","0"
"1","Image Generation","0","Text Positioning","0","0","Calculations","0"
"0","Song Library Management","0","MP3 Discovery & Parsing","1","0","Valid MP3 Parsing","0"
"1","Playlist Sync","0","Fuzzy Scoring","0","0","Perfect Matches","0"
"0","Song Library Management","0","Album Art Extraction","1","0","No Art","0"
"1","Playlist Sync","0","Metadata Extraction","0","0","Fallback","0"
"0","Main Application","0","Upcoming Songs Generation","1","0","Empty State","0"
"0","Downloader","0","Artist Parsing","1","0","Separation","0"
"0","Jukebox Player","0","Immediate Playback","1","0","Locking","0"
"0","Document Generator","0","","1","0","Selection Logic","0"
"0","Metadata Enrichment","0","String Normalization","1","0","Edge Cases","0"
"0","Jukebox Player","0","Playlist Priority","1","0","Queue Popping","0"
"1","File Extraction","0","Directory Scanning","0","0","Filtering","0"
"1","Playlist Sync","0","Normalization","0","0","Edge Cases","0"
